ruby_ver,platform,test_variant,Site,Impl,Test,KBytes Transferred,KBytes/second,Chunk Count,Mean Chunk Size,Max Chunk Size,Min Chunk Size,User Time,System Time,Total CPU Time,Clock Time
ruby186p111,linux,stock,seattle,libcurl,seattle with libcurl,11266,570.780189522148,7858,1468,5840,924,0.3,0.23,0.53,19.7378959655762
ruby186p111,linux,stock,chicago,libcurl,chicago with libcurl,11266,1267.23252317445,7868,1466,4380,1088,0.28,0.21,0.49,8.89023900032043
ruby186p111,linux,stock,dallas,libcurl,dallas with libcurl,11266,10664.8333050084,7643,1509,16384,924,0.29,0.21,0.5,1.0563690662384
ruby186p111,linux,stock,london,libcurl,london with libcurl,11266,227.332979226581,7793,1480,14600,164,0.29,0.21,0.5,49.5572619438171
ruby186p111,linux,stock,washdc,libcurl,washdc with libcurl,11266,530.651252016921,7688,1500,16384,596,0.28,0.22,0.5,21.2305161952972
ruby186p111,linux,stock,seattle,net/http,seattle with net/http,11266,569.858186089909,13831,834,1024,92,2.25,0.55,2.8,19.7698309421539
ruby186p111,linux,stock,chicago,net/http,chicago with net/http,11266,1268.10020156536,12021,959,1024,92,2.02,0.55,2.57,8.88415598869324
ruby186p111,linux,stock,dallas,net/http,dallas with net/http,11266,4348.91875452005,11267,1023,1024,1024,1.95,0.63,2.58,2.59052896499634
ruby186p111,linux,stock,london,net/http,london with net/http,11266,252.239040429106,12843,898,1024,92,2.23,0.53,2.76,44.6639821529388
ruby186p111,linux,stock,washdc,net/http,washdc with net/http,11266,633.353983111616,13660,844,1024,92,2.42,0.55,2.97,17.7878410816193
ruby186p111,linux,stock,seattle,rfuzz,seattle with rfuzz,11266,571.958363809598,705,16363,16384,2048,0.0800000000000001,0.27,0.35,19.6972379684448
ruby186p111,linux,stock,chicago,rfuzz,chicago with rfuzz,11266,1270.27453655559,706,16340,16384,960,0.0500000000000007,0.28,0.330000000000001,8.8689489364624
ruby186p111,linux,stock,dallas,rfuzz,dallas with rfuzz,11266,11177.4608858889,705,16363,16384,2048,0.0399999999999991,0.31,0.349999999999999,1.00792121887207
ruby186p111,linux,stock,london,rfuzz,london with rfuzz,11266,250.870750346029,705,16363,16384,2048,0.0999999999999996,0.37,0.47,44.907586812973
ruby186p111,linux,stock,washdc,rfuzz,washdc with rfuzz,11266,704.101372178046,705,16363,16384,2048,0.0600000000000005,0.25,0.31,16.0005369186401
ruby186p111,win,custom-16kbuffer-notimeout,seattle,net/http,seattle with net/http,11266,639.786474004488,1420,8124,16384,812,0.281,0.062,0.343,17.6089999675751
ruby186p111,win,custom-16kbuffer-notimeout,chicago,net/http,chicago with net/http,11266,1704.64518917733,1597,7223,16384,116,0.203,0.063,0.266,6.60899996757507
ruby186p111,win,custom-16kbuffer-notimeout,dallas,net/http,dallas with net/http,11266,866.615384615385,1556,7414,16384,908,0.203,0.062,0.265,13.0
ruby186p111,win,custom-16kbuffer-notimeout,london,net/http,london with net/http,11266,516.860119993117,1365,8451,16384,908,0.25,0.078,0.328,21.7969999313354
ruby186p111,win,custom-16kbuffer-notimeout,washdc,net/http,washdc with net/http,11266,1219.92418377071,1479,7800,16384,908,0.188,0.047,0.235,9.2350001335144
ruby186p111,win,custom-16kbuffer-select,seattle,net/http,seattle with net/http,11266,647.248079135354,2788,4137,16384,1136,0.781,0.172,0.953,17.4059998989105
ruby186p111,win,custom-16kbuffer-select,chicago,net/http,chicago with net/http,11266,1712.67860784428,2660,4336,16384,80,0.75,0.187,0.937,6.57800006866455
ruby186p111,win,custom-16kbuffer-select,dallas,net/http,dallas with net/http,11266,1155.48717948718,2686,4295,16384,812,0.891,0.078,0.969,9.75
ruby186p111,win,custom-16kbuffer-select,london,net/http,london with net/http,11266,568.61656592169,2777,4154,16384,1460,1.094,0.0629999999999999,1.157,19.8129999637604
ruby186p111,win,custom-16kbuffer-select,washdc,net/http,washdc with net/http,11266,1228.43746541423,2737,4214,16384,812,0.875,0.0930000000000001,0.968,9.1710000038147
ruby186p111,win,custom-16kbuffer-selectwithsysread,seattle,net/http,seattle with net/http,11266,633.063609664253,2783,4145,16384,1460,1.093,0.062,1.155,17.7960000038147
ruby186p111,win,custom-16kbuffer-selectwithsysread,chicago,net/http,chicago with net/http,11266,1708.52293518804,2642,4366,16384,488,0.734,0.219,0.953,6.5939998626709
ruby186p111,win,custom-16kbuffer-selectwithsysread,dallas,net/http,dallas with net/http,11266,1162.88192012205,2707,4261,16384,812,0.812,0.141,0.953,9.68799996376038
