Site,Impl,Test,KBytes Transferred,KBytes/second,Chunk Count,Mean Chunk Size,Max Chunk Size,Min Chunk Size,User Time,System Time,Total CPU Time,Clock Time
seattle,libcurl,seattle with libcurl,11266,570.949149960748,7768,1485,10220,924,0.12,0.11,0.23,19.7320549488068
chicago,libcurl,chicago with libcurl,11266,1245.69616794905,7837,1472,16384,128,0.13,0.13,0.26,9.04393887519836
dallas,libcurl,dallas with libcurl,11266,10025.3064659612,7625,1512,16384,924,0.15,0.16,0.31,1.12375617027283
london,libcurl,london with libcurl,11266,250.771189337933,7831,1473,13140,1088,0.13,0.12,0.25,44.9254159927368
washdc,libcurl,washdc with libcurl,11266,862.690003993497,7856,1468,7300,884,0.12,0.13,0.25,13.0591521263123
seattle,net/http,seattle with net/http,11266,564.363884717774,7785,1481,14600,924,0.24,0.24,0.48,19.9622979164124
chicago,net/http,chicago with net/http,11266,1223.97370850234,7591,1519,16384,568,0.24,0.23,0.47,9.2044460773468
dallas,net/http,dallas with net/http,11266,8237.2175057805,6842,1686,16384,164,0.24,0.25,0.49,1.36769485473633
london,net/http,london with net/http,11266,249.563374552979,7642,1509,16384,924,0.25,0.27,0.52,45.1428420543671
washdc,net/http,washdc with net/http,11266,864.683016344389,7756,1487,11680,1176,0.26,0.23,0.49,13.0290520191193
seattle,rfuzz,seattle with rfuzz,11266,574.565915478904,705,16363,16384,2048,0.04,0.24,0.28,19.6078460216522
chicago,rfuzz,chicago with rfuzz,11266,1262.02233217034,706,16340,16384,960,0.04,0.21,0.25,8.92694187164307
dallas,rfuzz,dallas with rfuzz,11266,10526.3339438587,705,16363,16384,2048,0.0299999999999998,0.3,0.33,1.07026815414429
london,rfuzz,london with rfuzz,11266,251.44571815044,705,16363,16384,2048,0.0500000000000003,0.24,0.29,44.8048989772797
washdc,rfuzz,washdc with rfuzz,11266,866.073560031015,705,16363,16384,2048,0.0499999999999998,0.24,0.29,13.0081329345703
