Site,Impl,Test,KBytes Transferred,KBytes/second,Chunk Count,Mean Chunk Size,Max Chunk Size,Min Chunk Size,User Time,System Time,Total CPU Time,Clock Time
seattle,libcurl,seattle with libcurl,11266,480.312128022737,7851,1469,5840,400,0.11,0.15,0.26,23.4555809497833
chicago,libcurl,chicago with libcurl,11266,1196.43405151573,7782,1482,16384,32,0.11,0.15,0.26,9.41631507873535
dallas,libcurl,dallas with libcurl,11266,10371.4221137469,7639,1510,16384,80,0.16,0.17,0.33,1.08625411987305
london,libcurl,london with libcurl,11266,206.328224939013,7746,1489,16384,624,0.14,0.12,0.26,54.6023211479187
washdc,libcurl,washdc with libcurl,11266,743.051130340269,7843,1470,11680,364,0.12,0.13,0.25,15.1618099212646
seattle,net/http,seattle with net/http,11266,568.583279524938,7009,1645,21900,924,1.0,0.16,1.16,19.8141598701477
chicago,net/http,chicago with net/http,11266,1249.7469289537,6970,1655,21900,128,1.11,0.15,1.26,9.01462507247925
dallas,net/http,dallas with net/http,11266,10229.2457284001,3889,2966,65536,352,0.63,0.12,0.75,1.10135197639465
london,net/http,london with net/http,11266,279.62141003843,7193,1603,27740,972,1.06,0.16,1.22,40.2901909351349
washdc,net/http,washdc with net/http,11266,838.983154813009,6942,1661,21900,924,1.0,0.13,1.13,13.4281599521637
seattle,rfuzz,seattle with rfuzz,11266,569.185979673714,705,16363,16384,2048,0.04,0.25,0.29,19.7931790351868
chicago,rfuzz,chicago with rfuzz,11266,1254.7557535892,706,16340,16384,960,0.0499999999999998,0.22,0.27,8.97863984107971
dallas,rfuzz,dallas with rfuzz,11266,10537.7190175238,705,16363,16384,2048,0.04,0.26,0.3,1.06911182403564
london,rfuzz,london with rfuzz,11266,279.743561419007,705,16363,16384,2048,0.0499999999999998,0.25,0.3,40.272598028183
washdc,rfuzz,washdc with rfuzz,11266,849.211898556145,705,16363,16384,2048,0.04,0.23,0.27,13.2664179801941
