Site,Impl,Test,KBytes Transferred,KBytes/second,Chunk Count,Mean Chunk Size,Max Chunk Size,Min Chunk Size,User Time,System Time,Total CPU Time,Clock Time
seattle,libcurl,seattle with libcurl,11266,527.280642928262,7820,1475,7300,376,0.11,0.19,0.3,21.3662309646606
chicago,libcurl,chicago with libcurl,11266,1220.69720421942,7813,1476,16384,72,0.14,0.15,0.29,9.22915196418762
dallas,libcurl,dallas with libcurl,11266,9443.58729871959,4629,2492,16384,812,0.07,0.07,0.14,1.19297885894775
london,libcurl,london with libcurl,11266,226.067827109835,7741,1490,16384,492,0.14,0.15,0.29,49.8346011638641
washdc,libcurl,washdc with libcurl,11266,869.878364632619,7858,1468,16060,924,0.14,0.18,0.32,12.9512360095978
seattle,net/http,seattle with net/http,11266,568.395409348313,7583,1521,16384,924,1.0,0.26,1.26,19.820708990097
chicago,net/http,chicago with net/http,11266,1254.67216240689,7518,1534,16384,1088,0.95,0.23,1.18,8.97923803329468
dallas,net/http,dallas with net/http,11266,9261.38275713585,5794,1991,16384,924,0.76,0.21,0.97,1.21644902229309
london,net/http,london with net/http,11266,250.632298731707,7552,1527,16384,1136,0.95,0.26,1.21,44.9503118991852
washdc,net/http,washdc with net/http,11266,835.528771184822,7637,1510,16384,932,0.99,0.26,1.25,13.4836769104004
seattle,rfuzz,seattle with rfuzz,11266,570.770585526821,705,16363,16384,2048,0.0299999999999994,0.23,0.259999999999999,19.7382280826569
chicago,rfuzz,chicago with rfuzz,11266,1254.25493947022,706,16340,16384,960,0.04,0.25,0.29,8.98222494125366
dallas,rfuzz,dallas with rfuzz,11266,9085.24273616512,705,16363,16384,2048,0.0300000000000002,0.25,0.28,1.24003291130066
london,rfuzz,london with rfuzz,11266,251.998512701452,705,16363,16384,2048,0.0499999999999998,0.22,0.27,44.7066130638123
washdc,rfuzz,washdc with rfuzz,11266,857.812315144218,705,16363,16384,2048,0.04,0.24,0.28,13.1334090232849
