Impl Names/Sites,seattle,chicago,dallas,london,washdc
1.8.7 i686-linux net_http_notimeout,19.565749168396,12.1431949138641,1.10245203971863,44.8244199752808,13.0727081298828
1.8.6 i686-linux net_http_select,19.6785387992859,12.0094468593597,1.04495406150818,44.911957025528,13.1321671009064
1.8.6 i686-linux net_http_zerocopy,19.5651309490204,12.187077999115,1.12121391296387,47.6929941177368,19.4360499382019
1.9.0 i686-linux net_http_zerocopy_sysread,19.5612990856171,12.0553469657898,1.07844996452332,46.1038980484009,13.133533000946
1.8.7 i686-linux rfuzz,19.5408391952515,12.1455891132355,1.1164870262146,45.2449429035187,13.2687690258026
1.8.7 i686-linux right_http_connection,19.6524770259857,12.1212160587311,1.10804414749146,45.0331392288208,13.1493489742279
1.8.7 i686-linux net_http_zerocopy,19.8925349712372,12.1863238811493,1.12143898010254,45.0271580219269,23.2700500488281
1.8.6 i686-linux stock_net_http,19.4994089603424,12.0481607913971,2.9776029586792,45.5158658027649,12.9580979347229
1.8.7 i686-linux net_http_zerocopy_sysread,19.7436640262604,12.1253628730774,1.17692708969116,44.8984320163727,14.7271001338959
1.8.6 i686-linux libcurl,19.5244829654694,12.044792175293,1.02871108055115,45.0457730293274,16.5665140151978
1.9.0 i686-linux net_http_notimeout,19.5824289321899,12.1448421478271,1.08911895751953,44.7130031585693,13.1217827796936
1.8.6 i686-linux rfuzz,19.7202770709991,12.0828020572662,1.04537415504456,44.8096141815186,13.0978970527649
1.9.0 i686-linux net_http_select,19.7343230247498,12.0902230739594,1.06894993782043,44.8495800495148,13.051873922348
1.9.0 i686-linux net_http_zerocopy,19.699597120285,12.1568601131439,1.1121518611908,45.1091730594635,13.1984119415283
1.9.0 i686-linux eventmachine,19.5353801250458,12.1200180053711,1.07267308235168,46.3474569320679,13.2812178134918
1.9.0 i686-linux stock_net_http,19.7031691074371,12.1917159557343,1.1692578792572,44.9721629619598,13.1879720687866
1.8.7 i686-linux eventmachine,21.5831651687622,12.0743339061737,1.05499196052551,45.4185409545898,13.0380809307098
1.8.7 i686-linux net_http_select,19.6190321445465,12.1612339019775,1.10683298110962,45.3854370117188,13.1780300140381
1.8.6 i686-linux net_http_zerocopy_sysread,19.5731730461121,12.0666468143463,1.02743911743164,44.9054620265961,15.9707400798798
1.8.7 i686-linux libcurl,19.5081810951233,11.9774880409241,1.04327082633972,44.7859809398651,13.0093679428101
1.8.7 i686-linux stock_net_http,19.5097680091858,12.1254079341888,1.07203817367554,45.3327758312225,13.1232459545135
1.9.0 i686-linux right_http_connection,19.6182022094727,12.1446850299835,1.13396906852722,45.1466448307037,12.9782350063324
1.8.6 i686-linux net_http_notimeout,19.5672860145569,12.0599670410156,1.03900194168091,44.8964910507202,13.497997045517
