Site,Impl,Test,KBytes Transferred,KBytes/second,Chunk Count,Mean Chunk Size,Max Chunk Size,Min Chunk Size,User Time,System Time,Total CPU Time,Clock Time
seattle,libcurl,seattle with libcurl,11266,570.780189522148,7858,1468,5840,924,0.3,0.23,0.53,19.7378959655762
chicago,libcurl,chicago with libcurl,11266,1267.23252317445,7868,1466,4380,1088,0.28,0.21,0.49,8.89023900032043
dallas,libcurl,dallas with libcurl,11266,10664.8333050084,7643,1509,16384,924,0.29,0.21,0.5,1.0563690662384
london,libcurl,london with libcurl,11266,227.332979226581,7793,1480,14600,164,0.29,0.21,0.5,49.5572619438171
washdc,libcurl,washdc with libcurl,11266,530.651252016921,7688,1500,16384,596,0.28,0.22,0.5,21.2305161952972
seattle,net/http,seattle with net/http,11266,569.858186089909,13831,834,1024,92,2.25,0.55,2.8,19.7698309421539
chicago,net/http,chicago with net/http,11266,1268.10020156536,12021,959,1024,92,2.02,0.55,2.57,8.88415598869324
dallas,net/http,dallas with net/http,11266,4348.91875452005,11267,1023,1024,1024,1.95,0.63,2.58,2.59052896499634
london,net/http,london with net/http,11266,252.239040429106,12843,898,1024,92,2.23,0.53,2.76,44.6639821529388
washdc,net/http,washdc with net/http,11266,633.353983111616,13660,844,1024,92,2.42,0.55,2.97,17.7878410816193
seattle,rfuzz,seattle with rfuzz,11266,571.958363809598,705,16363,16384,2048,0.0800000000000001,0.27,0.35,19.6972379684448
chicago,rfuzz,chicago with rfuzz,11266,1270.27453655559,706,16340,16384,960,0.0500000000000007,0.28,0.330000000000001,8.8689489364624
dallas,rfuzz,dallas with rfuzz,11266,11177.4608858889,705,16363,16384,2048,0.0399999999999991,0.31,0.349999999999999,1.00792121887207
london,rfuzz,london with rfuzz,11266,250.870750346029,705,16363,16384,2048,0.0999999999999996,0.37,0.47,44.907586812973
washdc,rfuzz,washdc with rfuzz,11266,704.101372178046,705,16363,16384,2048,0.0600000000000005,0.25,0.31,16.0005369186401
